ObjectPartCode,TRAINSET,Fault_code,Plant section,MaintPlant,Date,Month,Year,Fdate,LABEL
TC134,TNST115,FC104,PS1,LN1,20,7,2016,20/07/16,f
TC117,TNST125,FC104,PS1,LN1,8,1,2013,08/01/13,f
TC263,TNST120,FC107,PS1,LN1,20,8,2012,20/08/12,f
TC221,TNST109,FC130,PS1,LN1,31,1,2015,31/01/15,f
TC212,TNST126,FC130,PS1,LN1,11,1,2013,11/01/13,f
TC310,TNST113,FC101,PS1,LN1,8,6,2014,08/06/14,f
TC159,TNST113,FC104,PS1,LN1,16,6,2013,16/06/13,f
TC258,TNST106,FC112,PS1,LN1,16,1,2012,16/01/12,f
TC203,TNST115,FC103,PS1,LN1,9,6,2014,09/06/14,f
TC101,TNST170,FC101,PS1,LN1,26,3,2013,26/03/13,f
TC335,TNST169,FC102,PS1,LN1,9,6,2014,09/06/14,f
TC266,TNST134,FC102,PS1,LN1,15,5,2013,15/05/13,f
TC266,TNST134,FC102,PS1,LN1,15,5,2013,15/05/13,f
TC266,TNST134,FC102,PS1,LN1,15,5,2013,15/05/13,f
TC266,TNST134,FC102,PS1,LN1,15,5,2013,15/05/13,f
TC159,TNST104,FC104,PS1,LN1,26,2,2012,26/02/12,f
TC122,TNST106,FC105,PS1,LN1,10,3,2014,10/03/14,f
TC161,TNST134,FC104,PS1,LN1,11,2,2012,11/02/12,f
TC123,TNST117,FC112,PS2,LN2,1,1,2012,01/01/12,f
TC321,TNST117,FC125,PS2,LN2,1,1,2012,01/01/12,f
TC226,TNST117,#N/A,PS2,LN2,1,1,2012,01/01/12,f
TC153,TNST161,FC103,PS4,LN3,1,1,2012,01/01/12,f
TC113,TNST169,FC102,PS1,LN1,1,1,2012,01/01/12,f
TC113,TNST111,FC102,PS1,LN1,1,1,2012,01/01/12,f
TC123,TNST167,FC112,PS4,LN3,1,1,2012,01/01/12,f
TC113,TNST121,FC102,PS1,LN1,1,1,2012,01/01/12,f
TC188,TNST109,FC118,PS1,LN1,1,1,2012,01/01/12,f
TC113,TNST128,FC102,PS1,LN1,2,1,2012,02/01/12,f
TC113,TNST114,FC102,PS2,LN2,2,1,2012,02/01/12,f
TC103,TNST135,FC123,PS2,LN2,2,1,2012,02/01/12,f
TC165,TNST154,FC103,PS4,LN3,2,1,2012,02/01/12,f
TC406,TNST140,FC112,PS2,LN2,2,1,2012,02/01/12,f
TC309,TNST110,FC106,PS1,LN1,2,1,2012,02/01/12,f
TC113,TNST169,FC102,PS1,LN1,2,1,2012,02/01/12,f
TC407,TNST150,FC127,PS4,LN3,2,1,2012,02/01/12,f
TC391,TNST138,FC106,PS2,LN2,2,1,2012,02/01/12,f
TC101,TNST105,FC101,PS1,LN1,2,1,2012,02/01/12,f
TC193,TNST112,FC103,PS1,LN1,2,1,2012,02/01/12,f
TC260,TNST103,FC110,PS1,LN1,2,1,2012,02/01/12,f
TC125,TNST103,FC112,PS1,LN1,14,1,2012,14/01/12,f
TC104,TNST170,FC103,PS1,LN1,2,1,2012,02/01/12,f
TC113,TNST157,FC102,PS4,LN3,3,1,2012,03/01/12,f
TC132,TNST129,FC110,PS1,LN1,3,1,2012,03/01/12,f
TC309,TNST137,FC106,PS2,LN2,2,1,2012,02/01/12,f
#N/A,TNST112,#N/A,PS1,LN1,3,1,2012,03/01/12,f
TC122,TNST112,FC105,PS1,LN1,3,1,2012,03/01/12,f
TC281,TNST141,FC130,PS4,LN3,3,1,2012,03/01/12,f
TC281,TNST141,FC130,PS4,LN3,3,1,2012,03/01/12,f
TC402,TNST141,FC101,PS4,LN3,1,1,2012,01/01/12,f
TC158,TNST166,FC122,PS4,LN3,1,1,2012,01/01/12,f
TC135,TNST146,FC104,PS4,LN3,3,1,2012,03/01/12,f
TC281,TNST156,FC130,PS4,LN3,1,1,2012,01/01/12,f
TC113,TNST120,FC102,PS1,LN1,3,1,2012,03/01/12,f
TC104,TNST101,FC103,PS1,LN1,3,1,2012,03/01/12,f
TC127,TNST105,FC105,PS1,LN1,3,1,2012,03/01/12,f
TC134,TNST109,FC104,PS1,LN1,3,1,2012,03/01/12,f
TC111,TNST130,FC101,PS2,LN2,3,1,2012,03/01/12,f
TC345,TNST168,FC112,PS4,LN3,4,1,2012,04/01/12,f
TC148,TNST126,FC106,PS1,LN1,4,1,2012,04/01/12,f
TC101,TNST166,FC101,PS4,LN3,4,1,2012,04/01/12,f
TC391,TNST129,FC106,PS1,LN1,4,1,2012,04/01/12,f
TC240,TNST123,FC111,PS1,LN1,4,1,2012,04/01/12,f
TC405,TNST144,FC148,PS2,LN2,4,1,2012,04/01/12,f
TC164,TNST128,FC103,PS1,LN1,4,1,2012,04/01/12,f
TC223,TNST161,FC127,PS4,LN3,1,1,2012,01/01/12,f
TC266,TNST133,FC102,PS2,LN2,4,1,2012,04/01/12,f
TC164,TNST106,FC103,PS1,LN1,4,1,2012,04/01/12,f
TC184,TNST131,FC106,PS1,LN1,4,1,2012,04/01/12,f
TC164,TNST124,FC103,PS1,LN1,4,1,2012,04/01/12,f
TC113,TNST112,FC102,PS1,LN1,4,1,2012,04/01/12,f
TC113,TNST156,FC102,PS4,LN3,4,1,2012,04/01/12,f
TC255,TNST141,FC104,PS4,LN3,4,1,2012,04/01/12,f
TC113,TNST164,FC102,PS4,LN3,4,1,2012,04/01/12,f
TC113,TNST160,FC102,PS4,LN3,4,1,2012,04/01/12,f
TC153,TNST142,FC103,PS4,LN3,5,1,2012,05/01/12,f
TC103,TNST164,FC102,PS4,LN3,5,1,2012,05/01/12,f
TC321,TNST130,FC125,PS2,LN2,4,1,2012,04/01/12,f
TC226,TNST169,FC102,PS1,LN1,5,1,2012,05/01/12,f
TC309,TNST169,FC106,PS1,LN1,5,1,2012,05/01/12,f
TC148,TNST169,FC106,PS1,LN1,5,1,2012,05/01/12,f
TC210,TNST155,FC101,PS4,LN3,5,1,2012,05/01/12,f
TC161,TNST169,FC104,PS1,LN1,5,1,2012,05/01/12,f
TC148,TNST169,FC106,PS1,LN1,5,1,2012,05/01/12,f
TC391,TNST169,FC106,PS1,LN1,5,1,2012,05/01/12,f
TC116,TNST131,FC110,PS1,LN1,5,1,2012,05/01/12,f
TC113,TNST105,FC102,PS1,LN1,5,1,2012,05/01/12,f
TC406,TNST135,FC112,PS2,LN2,6,1,2012,06/01/12,f
TC132,TNST117,FC110,PS2,LN2,6,1,2012,06/01/12,f
TC268,TNST134,FC136,PS1,LN1,6,1,2012,06/01/12,f
TC129,TNST134,FC107,PS1,LN1,6,1,2012,06/01/12,f
TC114,TNST166,FC106,PS4,LN3,6,1,2012,06/01/12,f
TC188,TNST134,FC118,PS1,LN1,6,1,2012,06/01/12,f
TC293,TNST133,FC104,PS2,LN2,6,1,2012,06/01/12,f
TC353,TNST140,FC139,PS2,LN2,6,1,2012,06/01/12,f
TC255,TNST144,FC104,PS2,LN2,6,1,2012,06/01/12,f
TC134,TNST149,FC104,PS4,LN3,6,1,2012,06/01/12,f
TC113,TNST132,FC102,PS1,LN1,6,1,2012,06/01/12,f
TC113,TNST131,FC102,PS1,LN1,6,1,2012,06/01/12,f
TC113,TNST105,FC102,PS1,LN1,6,1,2012,06/01/12,f
TC164,TNST170,FC103,PS1,LN1,6,1,2012,06/01/12,f
TC113,TNST132,FC102,PS1,LN1,6,1,2012,06/01/12,f
TC104,TNST140,FC103,PS2,LN2,7,1,2012,07/01/12,f
TC255,TNST162,FC104,PS4,LN3,7,1,2012,07/01/12,f
TC213,TNST168,FC105,PS4,LN3,7,1,2012,07/01/12,f
TC123,TNST162,FC112,PS4,LN3,7,1,2012,07/01/12,f
TC201,TNST122,FC103,PS1,LN1,7,1,2012,07/01/12,f
TC156,TNST118,FC121,PS2,LN2,7,1,2012,07/01/12,f
