,TC,date,lbl,datedelta
0,TNST101TC101,2012-03-30,f,0
1,TNST101TC101,2012-03-30,f,0
2,TNST101TC101,2012-03-31,f,1
3,TNST101TC101,2012-04-19,f,19
4,TNST101TC101,2012-04-20,f,1
5,TNST101TC101,2012-04-21,f,1
6,TNST101TC101,2012-04-21,f,0
7,TNST101TC101,2012-05-12,f,21
8,TNST101TC101,2012-05-17,f,5
9,TNST101TC101,2012-05-23,f,6
10,TNST101TC101,2012-06-21,f,29
11,TNST101TC101,2012-08-12,f,52
12,TNST101TC101,2012-09-01,f,2
13,TNST101TC101,2012-09-09,f,8
14,TNST101TC101,2012-09-09,f,0
15,TNST101TC101,2012-09-10,f,1
16,TNST101TC101,2012-09-19,f,9
17,TNST101TC101,2012-09-20,f,1
18,TNST101TC101,2012-10-05,f,15
19,TNST101TC101,2012-10-09,f,4
20,TNST101TC101,2012-10-18,f,9
21,TNST101TC101,2012-10-27,f,9
22,TNST101TC101,2012-10-31,f,4
23,TNST101TC101,2012-11-05,f,5
24,TNST101TC101,2012-11-12,f,7
25,TNST101TC101,2012-11-23,f,11
26,TNST101TC101,2012-11-28,f,5
27,TNST101TC101,2012-12-04,f,6
28,TNST101TC101,2012-12-12,f,8
29,TNST101TC101,2013-01-06,f,25
30,TNST101TC101,2013-01-06,f,0
31,TNST101TC101,2013-01-13,f,7
32,TNST101TC101,2013-01-24,f,9
33,TNST101TC101,2013-02-07,f,14
34,TNST101TC101,2013-02-11,f,4
35,TNST101TC101,2013-03-07,f,24
36,TNST101TC101,2013-03-16,f,9
37,TNST101TC101,2013-03-21,f,5
38,TNST101TC101,2013-03-26,f,5
39,TNST101TC101,2013-04-07,f,12
40,TNST101TC101,2013-04-11,f,4
41,TNST101TC101,2013-04-11,f,0
42,TNST101TC101,2013-05-06,f,25
43,TNST101TC101,2013-05-19,f,13
44,TNST101TC101,2013-05-29,f,1
45,TNST101TC101,2013-05-31,f,2
46,TNST101TC101,2013-06-13,f,13
47,TNST101TC101,2013-06-14,f,1
48,TNST101TC101,2013-06-16,f,2
49,TNST101TC101,2013-06-25,f,9
50,TNST101TC101,2013-06-26,f,1
51,TNST101TC101,2013-06-30,f,4
52,TNST101TC101,2013-07-07,f,7
53,TNST101TC101,2013-08-11,f,35
54,TNST101TC101,2013-08-12,f,1
55,TNST101TC101,2013-10-12,f,61
56,TNST101TC101,2013-10-22,f,1
57,TNST101TC101,2013-10-25,f,3
58,TNST101TC101,2013-10-28,f,3
59,TNST101TC101,2013-11-14,f,17
60,TNST101TC101,2013-11-15,f,1
61,TNST101TC101,2013-11-16,f,1
62,TNST101TC101,2013-11-20,f,4
63,TNST101TC101,2013-11-21,f,1
64,TNST101TC101,2013-11-28,f,7
65,TNST101TC101,2013-12-11,f,13
66,TNST101TC101,2013-12-11,f,0
67,TNST101TC101,2013-12-14,f,3
68,TNST101TC101,2013-12-19,f,5
69,TNST101TC101,2013-12-21,f,2
70,TNST101TC101,2013-12-30,f,9
71,TNST101TC101,2014-01-04,f,5
72,TNST101TC101,2014-01-11,f,7
73,TNST101TC101,2014-01-11,f,0
74,TNST101TC101,2014-01-21,f,1
75,TNST101TC101,2014-02-01,f,11
76,TNST101TC101,2014-02-05,f,4
77,TNST101TC101,2014-02-18,f,13
78,TNST101TC101,2014-03-14,f,24
79,TNST101TC101,2014-04-14,f,31
80,TNST101TC101,2014-04-23,f,9
81,TNST101TC101,2014-05-04,f,11
82,TNST101TC101,2014-05-08,f,4
83,TNST101TC101,2014-05-31,f,23
84,TNST101TC101,2014-06-11,f,11
85,TNST101TC101,2014-06-12,f,1
86,TNST101TC101,2014-07-13,f,31
87,TNST101TC101,2014-08-07,f,25
88,TNST101TC101,2014-08-14,f,7
89,TNST101TC101,2014-08-18,f,4
90,TNST101TC101,2014-08-18,f,0
91,TNST101TC101,2014-08-26,f,8
92,TNST101TC101,2014-08-28,f,2
93,TNST101TC101,2014-09-14,f,17
94,TNST101TC101,2014-09-17,f,3
95,TNST101TC101,2014-10-03,f,16
96,TNST101TC101,2014-10-27,f,24
97,TNST101TC101,2014-10-28,f,1
98,TNST101TC101,2014-10-30,f,2
99,TNST101TC101,2014-11-09,f,1
100,TNST101TC101,2014-11-22,f,13
101,TNST101TC101,2014-12-03,f,11
102,TNST101TC101,2014-12-06,f,3
103,TNST101TC101,2014-12-07,f,1
104,TNST101TC101,2014-12-07,f,0
105,TNST101TC101,2014-12-07,f,0
106,TNST101TC101,2015-03-05,f,88
107,TNST101TC101,2015-03-07,f,2
108,TNST101TC101,2015-04-14,f,38
109,TNST101TC101,2015-04-17,f,3
110,TNST101TC101,2015-05-05,f,18
111,TNST101TC101,2015-05-05,f,0
112,TNST101TC101,2015-05-23,f,18
113,TNST101TC101,2015-06-02,f,1
114,TNST101TC101,2015-07-04,f,32
115,TNST101TC101,2015-11-03,f,122
116,TNST101TC101,2015-12-19,f,46
117,TNST101TC101,2015-12-22,f,3
118,TNST101TC101,2016-01-03,f,12
119,TNST101TC101,2016-01-27,f,24
120,TNST101TC101,2016-01-28,f,1
121,TNST101TC101,2016-01-28,f,0
122,TNST101TC101,2016-01-29,f,1
123,TNST101TC101,2016-01-30,f,1
124,TNST101TC101,2016-02-04,f,5
125,TNST101TC101,2016-03-03,f,28
126,TNST101TC101,2016-03-08,f,5
127,TNST101TC101,2016-03-17,f,9
128,TNST101TC101,2016-03-17,f,0
129,TNST101TC101,2016-03-18,f,1
130,TNST101TC101,2016-03-30,f,12
131,TNST101TC101,2016-04-03,f,4
132,TNST101TC101,2016-04-23,f,2
133,TNST101TC101,2016-04-23,f,0
134,TNST101TC101,2016-04-30,f,7
135,TNST101TC101,2016-05-02,f,2
136,TNST101TC101,2016-05-04,f,2
137,TNST101TC101,2016-05-21,f,17
