TRAINSET,Fdate,ObjectPartCode
TNST114,01-Jan-14,321
TNST114,01-Jan-17,103
TNST114,01-Jan-19,123
TNST114,02-Jan-18,166
TNST114,02-Jan-19,126
TNST114,04-Jan-18,114
TNST114,05-Jan-14,101
TNST114,06-Jan-17,123
TNST114,07-Jan-18,166
TNST114,08-Jan-17,113
TNST114,09-Jan-17,125
TNST114,11-Jan-16,148
TNST114,12-Jan-13,101
TNST114,05-Feb-18,123
TNST114,09-Feb-19,921
TNST114,10-Feb-18,129
TNST114,11-Feb-16,123
TNST114,12-Feb-14,203
TNST114,02-Mar-16,113
TNST114,04-Mar-15,103
TNST114,06-Mar-18,101
TNST114,07-Mar-17,132
TNST114,08-Mar-16,130
TNST114,08-Mar-17,317
TNST114,09-Mar-14,129
TNST114,09-Mar-14,113
TNST114,09-Mar-18,293
TNST114,01-Apr-14,270
TNST114,03-Apr-15,104
TNST114,04-Apr-16,101
TNST114,04-Apr-19,270
TNST114,06-Apr-18,209
TNST114,08-Apr-16,210
TNST114,08-Apr-18,166
TNST114,11-Apr-14,103
TNST114,11-Apr-15,113
TNST114,12-Apr-19,126
TNST114,02-May-14,104
TNST114,02-May-15,113
TNST114,04-May-14,143
TNST114,04-May-18,113
TNST114,04-May-18,143
TNST114,05-May-16,270
TNST114,05-May-19,126
TNST114,05-May-19,143
TNST114,07-May-19,1036
TNST114,09-May-15,123
TNST114,10-May-16,153
TNST114,10-May-19,101
TNST114,01-Jun-14,114
TNST114,02-Jun-19,103
TNST114,03-Jun-17,221
TNST114,04-Jun-17,143
TNST114,04-Jun-17,125
TNST114,06-Jun-17,123
TNST114,07-Jun-16,101
TNST114,07-Jun-18,101
TNST114,09-Jun-14,133
TNST114,09-Jun-18,125
TNST114,11-Jun-16,194
TNST114,12-Jun-14,103
TNST114,01-Jul-19,115
TNST114,05-Jul-14,101
TNST114,05-Jul-15,123
TNST114,06-Jul-16,104
TNST114,06-Jul-17,101
TNST114,06-Jul-18,113
TNST114,07-Jul-16,446
TNST114,08-Jul-14,123
TNST114,11-Jul-16,165
TNST114,12-Jul-15,113
TNST114,12-Jul-17,125
TNST114,02-Aug-17,123
TNST114,05-Aug-18,101
TNST114,09-Aug-15,113
TNST114,10-Aug-16,123
TNST114,01-Sep-15,104
TNST114,01-Sep-17,149
TNST114,04-Sep-18,108
TNST114,05-Sep-16,101
TNST114,05-Sep-16,101
TNST114,08-Sep-16,125
TNST114,09-Sep-16,402
TNST114,09-Sep-19,103
TNST114,10-Sep-18,101
TNST114,12-Sep-17,125
TNST114,01-Oct-15,101
TNST114,04-Oct-14,359
TNST114,07-Oct-14,166
TNST114,08-Oct-16,101
TNST114,09-Oct-19,200
TNST114,12-Oct-14,301
TNST114,06-Nov-19,270
TNST114,09-Nov-14,157
TNST114,10-Nov-19,113
TNST114,12-Nov-14,129
TNST114,01-Dec-16,201
TNST114,02-Dec-14,114
TNST114,02-Dec-14,352
TNST114,04-Dec-15,353
TNST114,05-Dec-17,143
TNST114,08-Dec-15,113
TNST114,08-Dec-15,113
TNST114,10-Dec-19,148
TNST114,12-Dec-14,123
TNST114,13-Jan-17,113
TNST114,13-Jan-18,206
TNST114,13-Feb-16,113
TNST114,13-Feb-18,114
TNST114,13-Apr-16,103
TNST114,13-Apr-16,103
TNST114,13-Apr-19,155
TNST114,13-May-15,126
TNST114,13-Jul-16,166
TNST114,13-Aug-15,149
TNST114,13-Aug-17,188
TNST114,13-Oct-19,126
TNST114,13-Dec-15,101
TNST114,14-Jan-15,113
TNST114,14-Jan-16,113
TNST114,14-Jan-16,123
TNST114,14-Mar-14,113
TNST114,14-Jun-15,211
TNST114,14-Jul-18,123
TNST114,14-Aug-15,153
TNST114,14-Aug-17,101
TNST114,14-Sep-18,200
TNST114,15-Jan-16,129
TNST114,15-Apr-15,260
TNST114,15-Apr-15,101
TNST114,15-Apr-18,148
TNST114,15-Jun-18,138
TNST114,15-Jun-19,157
TNST114,15-Aug-15,164
TNST114,15-Aug-17,113
TNST114,15-Dec-14,143
TNST114,15-Dec-18,101
TNST114,16-Feb-14,104
TNST114,16-Mar-18,148
TNST114,16-Mar-19,101
TNST114,16-Jun-16,157
TNST114,16-Aug-15,188
TNST114,17-Mar-16,123
TNST114,17-Apr-18,270
TNST114,17-Apr-18,101
TNST114,17-Jun-15,123
TNST114,17-Jul-18,125
TNST114,17-Sep-19,102
TNST114,17-Oct-17,113
TNST114,17-Dec-18,200
TNST114,18-Feb-14,113
TNST114,18-May-16,101
TNST114,18-Jun-14,101
TNST114,18-Jun-14,101
TNST114,18-Jun-15,123
TNST114,18-Jun-16,123
TNST114,18-Jul-18,113
TNST114,18-Jul-18,189
TNST114,18-Oct-19,113
TNST114,18-Dec-14,103
TNST114,18-Dec-18,101
TNST114,19-Jan-14,153
TNST114,19-Mar-19,225
TNST114,19-Apr-14,104
TNST114,19-Apr-14,324
TNST114,19-Aug-19,359
TNST114,19-Sep-19,123
TNST114,19-Sep-19,256
TNST114,19-Oct-17,123
TNST114,19-Oct-17,113
TNST114,19-Nov-19,101
TNST114,20-Jan-15,113
TNST114,20-Mar-14,101
TNST114,20-May-14,123
TNST114,20-Jul-19,1036
TNST114,20-Sep-16,101
TNST114,20-Nov-18,113
TNST114,20-Dec-13,104
TNST114,20-Dec-13,270
TNST114,20-Dec-14,104
TNST114,20-Dec-19,101
TNST114,21-Jan-14,114
TNST114,21-Jan-15,213
TNST114,21-Jan-16,113
TNST114,21-Feb-18,231
TNST114,21-Mar-17,113
TNST114,21-Jul-17,123
TNST114,21-Jul-17,123
TNST114,21-Jul-19,1036
TNST114,21-Aug-16,123
TNST114,21-Aug-17,129
TNST114,21-Aug-17,103
TNST114,21-Aug-17,397
TNST114,21-Sep-19,113
TNST114,21-Oct-18,101
TNST114,21-Nov-15,123
TNST114,21-Dec-15,113
TNST114,22-Apr-14,101
TNST114,22-May-15,123
TNST114,22-Jun-16,310
TNST114,22-Jul-17,101
TNST114,22-Jul-18,126
TNST114,22-Jul-19,131
TNST114,22-Nov-13,111
TNST114,22-Dec-18,367
TNST114,22-Dec-18,203
TNST114,23-Jan-15,111
TNST114,23-Apr-18,125
TNST114,23-Jul-17,101
TNST114,23-Sep-14,101
TNST114,23-Oct-16,104
TNST114,24-Aug-17,125
TNST114,24-Sep-16,101
TNST114,24-Sep-16,104
TNST114,24-Nov-13,114
TNST114,24-Nov-18,180
TNST114,24-Dec-16,113
TNST114,25-May-15,101
TNST114,25-Jun-17,123
TNST114,25-Jul-18,113
TNST114,25-Aug-14,114
TNST114,25-Aug-18,119
TNST114,25-Sep-16,123
TNST114,25-Sep-16,101
TNST114,25-Sep-19,148
TNST114,25-Oct-15,157
TNST114,25-Nov-18,123
TNST114,25-Dec-18,123
TNST114,26-Mar-16,101
TNST114,26-Apr-15,101
TNST114,26-May-14,123
TNST114,26-Jun-14,270
TNST114,26-Jun-16,123
TNST114,26-Jul-19,359
TNST114,26-Sep-16,101
TNST114,26-Sep-17,125
TNST114,26-Sep-17,113
TNST114,26-Sep-18,125
TNST114,26-Sep-19,101
TNST114,26-Nov-16,113
TNST114,27-Aug-18,225
TNST114,27-Nov-16,166
TNST114,27-Dec-15,103
TNST114,28-Feb-18,143
TNST114,28-Jun-18,123
TNST114,28-Aug-19,134
TNST114,28-Sep-18,101
TNST114,28-Oct-17,123
TNST114,28-Nov-16,123
TNST114,29-Jan-14,114
TNST114,29-Jan-16,101
TNST114,29-Apr-17,125
TNST114,29-May-16,398
TNST114,29-Jul-18,123
TNST114,29-Aug-18,293
TNST114,29-Aug-19,203
TNST114,29-Oct-18,113
TNST114,29-Oct-19,256
TNST114,30-Jan-15,123
TNST114,30-Apr-17,231
TNST114,30-Apr-17,231
TNST114,30-Aug-14,257
TNST114,30-Aug-18,103
TNST114,30-Sep-14,166
TNST114,30-Sep-18,114
TNST114,30-Sep-18,125
TNST114,30-Nov-17,113
TNST114,31-Oct-18,113
TNST117,12-Jan-19,101
TNST117,08-Feb-19,101
TNST117,09-Feb-19,153
TNST117,10-Mar-19,113
TNST117,08-Apr-19,143
TNST117,07-May-19,102
TNST117,07-Jun-19,134
TNST117,07-Jun-19,200
TNST117,07-Jun-19,203
TNST117,07-Jul-19,871
TNST117,07-Sep-19,133
TNST117,09-Sep-19,113
TNST117,11-Sep-19,101
TNST117,11-Oct-19,143
TNST117,12-Oct-19,101
TNST117,11-Nov-19,143
TNST117,09-Dec-19,101
TNST117,11-Dec-19,203
TNST117,13-Jul-19,101
TNST117,13-Jul-19,101
TNST117,13-Jul-19,111
TNST117,15-Jul-19,165
TNST117,15-Jul-19,104
TNST117,15-Sep-19,101
TNST117,15-Dec-19,101
TNST117,16-Aug-19,123
TNST117,16-Sep-19,101
TNST117,17-Jul-19,125
TNST117,17-Oct-19,256
TNST117,17-Oct-19,102
TNST117,19-Jul-19,1045
TNST117,19-Jul-19,101
TNST117,19-Jul-19,157
TNST117,23-Jul-19,104
TNST117,26-Sep-19,101
TNST117,26-Oct-19,153
TNST117,27-Jul-19,189
TNST117,27-Sep-19,123
TNST117,27-Oct-19,153
TNST117,28-Jul-19,114
TNST117,28-Jul-19,104
TNST117,29-Jul-19,1036
TNST117,31-Dec-19,200
TNST118,08-Jan-19,113
TNST118,06-Feb-19,126
TNST118,06-Feb-19,143
TNST118,06-Feb-19,102
TNST118,06-Feb-19,126
TNST118,06-Feb-19,143
TNST118,08-Mar-19,181
TNST118,05-Jun-19,203
TNST118,08-Jul-19,101
TNST118,08-Jul-19,153
TNST118,06-Aug-19,101
TNST118,06-Sep-19,126
TNST118,08-Sep-19,101
TNST118,08-Oct-19,301
TNST118,08-Oct-19,211
TNST118,08-Oct-19,301
TNST118,06-Nov-19,101
TNST118,11-Nov-19,256
TNST118,12-Nov-19,200
TNST118,12-Nov-19,200
TNST118,08-Dec-19,111
TNST118,14-Jul-19,203
TNST118,15-Jun-19,101
TNST118,15-Jun-19,103
TNST118,16-Apr-19,101
TNST118,18-Dec-19,101
TNST118,20-Aug-19,123
TNST118,20-Sep-19,1033
TNST118,21-Aug-19,123
TNST118,21-Dec-19,1045
TNST118,22-May-19,165
TNST118,24-Aug-19,158
TNST118,24-Sep-19,871
TNST118,25-Jul-19,113
TNST118,25-Sep-19,101
TNST118,25-Oct-19,111
TNST118,26-Apr-19,119
TNST118,26-Apr-19,111
TNST118,26-Jul-19,203
TNST118,26-Oct-19,111
TNST118,26-Oct-19,111
TNST118,27-Apr-19,359
TNST118,27-Aug-19,200
TNST118,29-Dec-19,103
TNST118,30-Nov-19,206
TNST118,30-Nov-19,206
TNST130,04-Feb-19,101
TNST130,12-Mar-19,256
TNST130,05-Apr-19,129
TNST130,12-Apr-19,200
TNST130,10-Jun-19,312
TNST130,08-Aug-19,153
TNST130,06-Oct-19,148
TNST130,04-Nov-19,326
TNST130,05-Nov-19,1045
TNST130,06-Nov-19,104
TNST130,13-Jun-19,1045
TNST130,14-Apr-19,123
TNST130,14-Sep-19,165
TNST130,14-Nov-19,101
TNST130,16-Apr-19,101
TNST130,16-Aug-19,229
TNST130,17-Apr-19,166
TNST130,17-Apr-19,220
TNST130,18-May-19,1045
TNST130,19-Sep-19,123
TNST130,19-Dec-19,326
TNST130,19-Dec-19,105
TNST130,20-Apr-19,123
TNST130,23-Apr-19,165
TNST130,23-Apr-19,1036
TNST130,23-Aug-19,188
TNST130,24-Apr-19,143
TNST130,24-Jul-19,165
TNST130,25-Jun-19,101
TNST130,25-Jul-19,113
TNST130,26-Apr-19,101
TNST130,27-Sep-19,126
TNST130,27-Nov-19,115
TNST130,29-Apr-19,123
TNST130,30-May-19,165
TNST130,30-Aug-19,101
TNST133,10-Jan-19,133
TNST133,08-Feb-19,101
TNST133,07-Mar-19,261
TNST133,07-Mar-19,101
TNST133,07-Mar-19,209
TNST133,08-Mar-19,126
TNST133,09-Apr-19,166
TNST133,12-Apr-19,153
TNST133,02-May-19,927
TNST133,07-May-19,143
TNST133,08-Jun-19,126
TNST133,12-Jun-19,164
TNST133,12-Jul-19,143
TNST133,10-Sep-19,101
TNST133,07-Oct-19,111
TNST133,08-Oct-19,103
TNST133,09-Oct-19,143
TNST133,08-Nov-19,101
TNST133,07-Dec-19,130
TNST133,13-Nov-19,143
TNST133,14-Jul-19,101
TNST133,14-Jul-19,209
TNST133,14-Sep-19,126
TNST133,15-Jun-19,103
TNST133,16-Jun-19,102
TNST133,16-Jun-19,194
TNST133,16-Jun-19,203
TNST133,16-Jun-19,201
TNST133,16-Jun-19,188
TNST133,16-Jun-19,166
